geoid,year,housing_starts_total,housing_starts_total_source,housing_completions,housing_completions_source
5320001.00,2018,1,official,0,official
5320001.00,2019,0,official,1,official
5320001.00,2020,1,official,0,official
5320001.00,2021,1,official,2,official
5320001.00,2022,6,official,0,official
5320001.00,2023,1,official,,
5320001.00,2024,0,official,,
5320002.01,2018,0,official,1,estimated_parent
5320002.01,2019,0,official,0,official
5320002.01,2020,0,official,0,official
5320002.01,2021,0,official,0,official
5320002.01,2022,0,official,0,official
5320002.01,2023,0,official,,
5320002.01,2024,0,official,,
5320002.02,2018,0,official,2,estimated_parent
5320002.02,2019,0,official,0,official
5320002.02,2020,0,official,0,official
5320002.02,2021,0,official,0,official
5320002.02,2022,0,official,0,official
5320002.02,2023,0,official,,
5320002.02,2024,0,official,,
5320002.03,2018,0,official,0,estimated_parent
5320002.03,2019,0,official,0,official
5320002.03,2020,0,official,0,official
5320002.03,2021,0,official,0,official
5320002.03,2022,0,official,0,official
5320002.03,2023,0,official,,
5320002.03,2024,0,official,,
5320003.01,2018,4,estimated_parent,3,estimated_parent
5320003.01,2019,0,official,4,estimated_parent
5320003.01,2020,5,estimated_parent,4,estimated_parent
5320003.01,2021,1,estimated_parent,1,estimated_parent
5320003.01,2022,1,estimated_parent,2,estimated_parent
5320003.01,2023,9,estimated_parent,,
5320003.01,2024,1,estimated_parent,,
5320003.02,2018,3,estimated_parent,3,estimated_parent
5320003.02,2019,0,official,3,estimated_parent
5320003.02,2020,4,estimated_parent,4,estimated_parent
5320003.02,2021,1,estimated_parent,0,estimated_parent
5320003.02,2022,0,estimated_parent,1,estimated_parent
5320003.02,2023,9,estimated_parent,,
5320003.02,2024,1,estimated_parent,,
5320004.01,2018,0,estimated_parent,0,official
5320004.01,2019,0,official,0,estimated_parent
5320004.01,2020,0,estimated_parent,0,official
5320004.01,2021,0,official,0,estimated_parent
5320004.01,2022,0,official,0,official
5320004.01,2023,0,official,,
5320004.01,2024,0,estimated_parent,,
5320004.02,2018,1,estimated_parent,0,official
5320004.02,2019,0,official,1,estimated_parent
5320004.02,2020,1,estimated_parent,0,official
5320004.02,2021,0,official,1,estimated_parent
5320004.02,2022,0,official,0,official
5320004.02,2023,0,official,,
5320004.02,2024,1,estimated_parent,,
5320005.00,2018,0,official,0,official
5320005.00,2019,0,official,0,official
5320005.00,2020,2,official,0,official
5320005.00,2021,0,official,2,official
5320005.00,2022,41,official,0,official
5320005.00,2023,14,official,,
5320005.00,2024,0,official,,
5320006.00,2018,1,official,0,official
5320006.00,2019,2,official,1,official
5320006.00,2020,0,official,2,official
5320006.00,2021,0,official,0,official
5320006.00,2022,0,official,0,official
5320006.00,2023,0,official,,
5320006.00,2024,0,official,,
5320007.00,2018,0,official,2,official
5320007.00,2019,0,official,0,official
5320007.00,2020,1,official,0,official
5320007.00,2021,0,official,1,official
5320007.00,2022,0,official,0,official
5320007.00,2023,0,official,,
5320007.00,2024,0,official,,
5320008.01,2018,0,official,0,official
5320008.01,2019,0,official,0,official
5320008.01,2020,0,official,0,official
5320008.01,2021,0,official,0,official
5320008.01,2022,0,estimated_parent,0,estimated_parent
5320008.01,2023,0,official,,
5320008.01,2024,0,official,,
5320008.02,2018,0,official,0,official
5320008.02,2019,0,official,0,official
5320008.02,2020,0,official,0,official
5320008.02,2021,0,official,0,official
5320008.02,2022,0,estimated_parent,0,estimated_parent
5320008.02,2023,0,official,,
5320008.02,2024,0,official,,
5320008.03,2018,0,official,0,official
5320008.03,2019,0,official,0,official
5320008.03,2020,0,official,0,official
5320008.03,2021,0,official,0,official
5320008.03,2022,0,estimated_parent,0,estimated_parent
5320008.03,2023,0,official,,
5320008.03,2024,0,official,,
5320008.05,2018,0,official,0,official
5320008.05,2019,0,official,0,official
5320008.05,2020,0,official,0,official
5320008.05,2021,0,official,0,official
5320008.05,2022,0,estimated_parent,0,estimated_parent
5320008.05,2023,0,official,,
5320008.05,2024,0,official,,
5320008.06,2018,0,official,0,official
5320008.06,2019,0,official,0,official
5320008.06,2020,0,official,0,official
5320008.06,2021,0,official,0,official
5320008.06,2022,0,estimated_parent,0,estimated_parent
5320008.06,2023,0,official,,
5320008.06,2024,0,official,,
5320008.08,2018,0,official,0,official
5320008.08,2019,0,official,0,official
5320008.08,2020,0,official,0,official
5320008.08,2021,0,official,0,official
5320008.08,2022,0,estimated_parent,0,estimated_parent
5320008.08,2023,0,official,,
5320008.08,2024,0,official,,
5320008.09,2018,0,official,0,official
5320008.09,2019,0,official,0,official
5320008.09,2020,0,official,0,official
5320008.09,2021,0,official,0,official
5320008.09,2022,1,estimated_parent,1,estimated_parent
5320008.09,2023,0,official,,
5320008.09,2024,0,official,,
5320009.01,2018,0,official,0,official
5320009.01,2019,0,official,0,official
5320009.01,2020,0,official,0,official
5320009.01,2021,1,official,0,official
5320009.01,2022,0,official,1,official
5320009.01,2023,0,official,,
5320009.01,2024,0,official,,
5320009.02,2018,0,official,0,official
5320009.02,2019,0,official,0,official
5320009.02,2020,0,official,0,official
5320009.02,2021,0,official,0,official
5320009.02,2022,0,official,0,official
