geoid,zone_code,zone_name,match_type
5350001.00,02,Toronto (East),direct
5350002.00,01,Toronto (Central),direct
5350004.00,04,Toronto (West),direct
5350005.00,04,Toronto (West),direct
5350006.00,04,Toronto (West),direct
5350007.01,04,Toronto (West),direct
5350007.02,04,Toronto (West),direct
5350008.01,04,Toronto (West),direct
5350008.02,04,Toronto (West),direct
5350009.00,04,Toronto (West),direct
5350010.01,04,Toronto (West),direct
5350010.02,04,Toronto (West),direct
5350011.01,01,Toronto (Central),direct
5350011.02,01,Toronto (Central),direct
5350011.03,01,Toronto (Central),direct
5350012.01,01,Toronto (Central),direct
5350012.03,01,Toronto (Central),direct
5350012.04,01,Toronto (Central),direct
5350013.01,01,Toronto (Central),direct
5350013.02,01,Toronto (Central),direct
5350014.00,01,Toronto (Central),direct
5350015.00,01,Toronto (Central),direct
5350016.00,01,Toronto (Central),direct
5350017.01,01,Toronto (Central),direct
5350017.02,01,Toronto (Central),direct
5350018.00,02,Toronto (East),direct
5350019.00,02,Toronto (East),direct
5350020.00,02,Toronto (East),direct
5350021.00,02,Toronto (East),direct
5350022.00,02,Toronto (East),direct
5350023.00,02,Toronto (East),direct
5350024.00,02,Toronto (East),direct
5350025.00,02,Toronto (East),direct
5350026.00,02,Toronto (East),direct
5350027.00,02,Toronto (East),direct
5350028.01,02,Toronto (East),direct
5350028.02,02,Toronto (East),direct
5350029.00,02,Toronto (East),direct
5350030.00,01,Toronto (Central),direct
5350031.00,01,Toronto (Central),direct
5350032.00,01,Toronto (Central),direct
5350033.00,01,Toronto (Central),direct
5350034.01,01,Toronto (Central),direct
5350034.02,01,Toronto (Central),direct
5350035.00,01,Toronto (Central),direct
5350036.00,01,Toronto (Central),direct
5350037.00,01,Toronto (Central),direct
5350038.00,01,Toronto (Central),direct
5350039.00,01,Toronto (Central),direct
5350040.00,04,Toronto (West),direct
5350041.00,04,Toronto (West),direct
5350042.00,04,Toronto (West),direct
5350043.00,04,Toronto (West),direct
5350044.01,04,Toronto (West),direct
5350044.02,04,Toronto (West),direct
5350045.00,04,Toronto (West),direct
5350046.00,04,Toronto (West),direct
5350047.02,04,Toronto (West),direct
5350047.03,04,Toronto (West),direct
5350047.04,04,Toronto (West),direct
5350048.00,04,Toronto (West),direct
5350049.00,04,Toronto (West),direct
5350050.01,04,Toronto (West),direct
5350050.03,04,Toronto (West),direct
