zone_name,year,vacancy_rate,average_rent_total,rental_universe
"Aurora, Newmkt, Whit-St.",2024,2.4,1761.0,2312.0
Bradford/West Gwillimbury/New Tecumseth,2024,1.9,1417.0,725.0
Brampton (East),2024,1.6,1823.0,4711.0
Brampton (West),2024,3.6,1870.0,7296.0
Caledon,2024,,,224.0
East York,2024,1.7,1623.0,18656.0
Etobicoke (Central),2024,1.6,1996.0,17015.0
Etobicoke (North),2024,1.1,1834.0,5939.0
Etobicoke (South),2024,4.1,1675.0,11207.0
Markham,2024,2.0,1831.0,1631.0
Milton/Halton Hills,2024,2.1,1512.0,1049.0
Mississauga (Northeast),2024,2.4,1825.0,13179.0
Mississauga (Northwest),2024,2.6,1978.0,4332.0
Mississauga (South),2024,5.6,1893.0,12638.0
North Ward,2024,2.4,1446.0,3360.0
North York (N.Central),2024,1.1,1950.0,13419.0
North York (Northeast),2024,1.1,2096.0,12874.0
North York (Northwest),2024,1.0,1572.0,21123.0
North York (Southeast),2024,2.0,1903.0,18038.0
North York (Southwest),2024,2.9,1775.0,9361.0
Oakville,2024,3.2,2116.0,5698.0
Orangeville/Mono,2024,2.7,1376.0,1079.0
Pickering/Ajax/Uxbridge,2024,1.0,1677.0,2962.0
Richmond Hill/Vaughan/King,2024,2.4,1762.0,2438.0
Scarborough (Central),2024,2.0,1705.0,18371.0
Scarborough (East),2024,1.1,1699.0,10132.0
Scarborough (North),2024,0.9,1684.0,7007.0
South Ward,2024,3.7,1250.0,2904.0
Toronto (Central),2024,3.5,2092.0,35300.0
Toronto (East),2024,2.9,1673.0,5812.0
Toronto (North),2024,2.2,2033.0,32723.0
Toronto (West),2024,3.7,1752.0,26772.0
York,2024,3.4,1843.0,18186.0
