geoid,year,median_income,median_rent,population,previous_population,renter_households,rent_burden_pct,dwellings_total,dwellings_single_detached,dwellings_semi_detached,dwellings_row_house,dwellings_apt_duplex,dwellings_apt_low_rise,dwellings_apt_high_rise,owner_households,tenure_renter_households
5320001.00,2021,68000.0,1150.0,3578,3389,795,42.7,1570,695,60,115,195,505,0,745,795
5320002.01,2021,76500.0,1020.0,4265,4132,665,22.0,1635,800,185,210,235,200,0,1000,660
5320002.02,2021,56400.0,1080.0,4624,4521,1510,37.8,1965,100,110,400,45,310,990,430,1510
5320002.03,2021,84000.0,1400.0,6253,6075,525,37.1,2330,630,1030,275,150,115,120,1825,525
5320003.01,2021,87000.0,1300.0,4386,4321,455,30.8,1620,315,885,35,75,305,0,1165,460
5320003.02,2021,101000.0,1490.0,6592,6313,450,46.7,2445,1870,175,145,105,145,0,1990,455
5320004.01,2021,81000.0,1140.0,3077,2963,415,37.3,1225,525,105,305,95,195,0,830,415
5320004.02,2021,54800.0,1250.0,4172,4081,1480,48.5,2120,660,65,5,110,625,650,615,1475
5320005.00,2021,52800.0,1090.0,4040,3833,1125,41.2,1895,715,45,60,205,465,400,785,1130
5320006.00,2021,61600.0,1130.0,3641,3524,875,37.9,1555,490,190,75,150,495,145,660,875
5320007.00,2021,79000.0,1430.0,5575,5170,695,37.5,2335,1725,70,15,330,185,0,1655,695
5320008.01,2021,99000.0,1410.0,3805,3824,205,40.0,1345,770,365,45,115,50,0,1155,205
5320008.02,2021,82000.0,1570.0,2649,2531,335,47.8,1035,715,85,115,85,35,0,690,340
5320008.03,2021,98000.0,1530.0,4352,4393,300,28.3,1700,1530,0,0,145,25,0,1395,305
5320008.05,2021,91000.0,1090.0,3280,3196,370,35.1,1335,955,90,0,85,135,80,965,370
5320008.06,2021,119000.0,1860.0,5461,5462,120,29.2,1795,1470,180,110,30,5,0,1675,120
5320008.08,2021,130000.0,2180.0,3858,3843,80,31.3,1240,1205,0,0,30,0,0,1180,85
5320008.09,2021,111000.0,2560.0,4386,4090,450,80.0,1540,1000,0,330,30,0,175,1065,450
5320009.01,2021,75500.0,1230.0,2710,2657,465,41.3,1215,700,65,0,145,230,80,740,460
5320009.02,2021,96000.0,1380.0,3310,3263,205,24.4,1210,390,400,305,70,45,0,1005,205
5320009.03,2021,97000.0,1140.0,6077,5999,635,20.5,2170,1175,330,460,70,85,50,1530,640
5320009.04,2021,92000.0,1580.0,2780,2667,195,35.9,1100,875,105,0,95,30,0,905,190
5320009.05,2021,78000.0,1410.0,5408,5399,1100,47.0,2480,890,115,635,25,285,530,1380,1095
5320010.00,2021,45600.0,1050.0,5346,4524,2200,48.5,2985,295,30,135,280,615,1530,760,2205
5320011.00,2021,84000.0,1390.0,5142,5284,700,47.1,2155,1295,60,95,125,245,340,1465,695
5320012.01,2021,65000.0,1350.0,3438,3266,945,46.3,1400,465,0,185,95,480,175,485,945
5320012.02,2021,86000.0,1680.0,2882,2613,315,47.6,1195,1020,10,0,145,20,5,875,310
5320013.00,2021,111000.0,1490.0,6451,6369,400,50.0,2465,2145,10,0,85,80,140,2040,400
5320014.01,2021,98000.0,1210.0,2676,2469,310,35.5,1050,790,0,70,25,165,0,765,310
5320014.02,2021,52000.0,1250.0,5238,5072,2175,45.5,2505,10,0,375,0,120,2000,315,2175
5320015.02,2021,94000.0,1620.0,4550,4075,455,39.3,1625,680,135,695,50,10,55,1165,460
5320015.03,2021,80000.0,1300.0,1795,1694,285,31.6,740,365,145,0,65,160,0,475,280
5320015.04,2021,74000.0,1040.0,3178,2245,580,54.9,1250,850,0,270,55,30,40,685,575
5320016.04,2021,114000.0,2300.0,14443,7396,1190,45.1,4265,3650,15,470,50,65,0,3070,1195
5320016.05,2021,108000.0,1760.0,5831,5782,295,49.2,1925,1255,195,395,15,5,55,1635,300
5320016.06,2021,132000.0,2320.0,6385,5466,290,41.4,1755,1570,55,110,15,0,0,1475,290
