geoid,transit_route_count,transit_score
5320001.00,6,38.5
5320002.01,5,30.8
5320002.02,8,53.8
5320002.03,13,92.3
5320003.01,19,100.0
5320003.02,14,100.0
5320004.01,15,100.0
5320004.02,17,100.0
5320005.00,15,100.0
5320006.00,10,69.2
5320007.00,10,69.2
5320008.01,4,23.1
5320008.02,6,38.5
5320008.03,5,30.8
5320008.05,5,30.8
5320008.06,4,23.1
5320008.08,7,46.2
5320008.09,6,38.5
5320009.01,7,46.2
5320009.02,6,38.5
5320009.03,8,53.8
5320009.04,6,38.5
5320009.05,4,23.1
5320010.00,15,100.0
5320011.00,12,84.6
5320012.01,16,100.0
5320012.02,12,84.6
5320013.00,8,53.8
5320014.01,6,38.5
5320014.02,6,38.5
5320015.02,13,92.3
5320015.03,6,38.5
5320015.04,12,84.6
5320016.04,16,100.0
5320016.05,4,23.1
5320016.06,8,53.8
5320016.07,8,53.8
5320016.08,8,53.8
5320100.01,18,100.0
5320100.02,14,100.0
5320100.03,7,46.2
5320101.02,8,53.8
5320101.03,8,53.8
5320101.04,7,46.2
5320101.05,11,76.9
5320101.06,16,100.0
5320102.01,7,46.2
5320102.02,5,30.8
5320102.03,14,100.0
5320103.00,14,100.0
5320104.00,8,53.8
5320105.04,7,46.2
5320105.05,6,38.5
5320105.06,6,38.5
5320105.07,5,30.8
5320105.08,5,30.8
5320105.09,4,23.1
5320105.10,4,23.1
5320105.14,7,46.2
5320105.15,9,61.5
5320105.17,1,0.0
5320105.18,1,0.0
5320105.19,1,0.0
5320105.20,1,0.0
5320105.21,1,0.0
5320105.22,6,38.5
5320105.23,3,15.4
5320105.24,4,23.1
5320200.00,2,7.7
5320201.01,2,7.7
5320201.02,1,0.0
5320202.04,3,15.4
5320202.05,2,7.7
5320202.08,3,15.4
5320202.09,2,7.7
5320202.11,3,15.4
5320202.12,2,7.7
5320202.13,3,15.4
5320202.14,5,30.8
5320202.15,2,7.7
5320202.16,5,30.8
5320202.17,2,7.7
5320202.18,4,23.1
5320203.01,1,0.0
5320203.02,5,30.8
5320203.03,5,30.8
5320203.05,1,0.0
5320203.06,4,23.1
5320204.00,5,30.8
5320205.01,2,7.7
5320205.02,5,30.8
5320206.00,2,7.7
5350005.00,1,0.0
5350007.02,1,0.0
5350008.01,1,0.0
5350008.02,1,0.0
5350009.00,1,0.0
5350010.01,1,0.0
5350011.02,7,46.2
5350011.03,15,100.0
5350012.03,15,100.0
5350012.04,15,100.0
5350013.01,15,100.0
5350013.02,15,100.0
5350014.00,15,100.0
5350015.00,15,100.0
5350016.00,8,53.8
5350017.02,8,53.8
5350035.00,7,46.2
5350036.00,7,46.2
5350044.02,1,0.0
5350047.03,1,0.0
5350051.00,1,0.0
5350052.00,1,0.0
5350053.00,1,0.0
5350078.00,1,0.0
5350079.00,1,0.0
5350080.01,1,0.0
5350080.02,1,0.0
5350097.01,1,0.0
5350097.04,1,0.0
5350098.00,1,0.0
5350099.00,1,0.0
5350155.00,1,0.0
5350156.01,1,0.0
5350156.02,1,0.0
5350157.00,1,0.0
5350158.00,1,0.0
5350172.00,1,0.0
5350173.00,1,0.0
5350174.00,1,0.0
5350175.01,1,0.0
5350175.02,1,0.0
5350176.00,1,0.0
5350180.00,1,0.0
5350181.01,1,0.0
5350201.00,1,0.0
5350202.00,1,0.0
5350203.00,1,0.0
5350206.01,4,23.1
5350208.00,1,0.0
5350209.00,1,0.0
5350210.01,1,0.0
5350211.00,5,30.8
5350212.00,5,30.8
5350213.01,17,100.0
5350213.02,18,100.0
5350214.00,17,100.0
5350215.00,1,0.0
5350218.00,1,0.0
5350219.00,1,0.0
5350220.00,13,92.3
5350221.01,6,38.5
5350221.02,5,30.8
5350222.01,17,100.0
5350222.02,3,15.4
5350223.01,1,0.0
5350223.02,17,100.0
5350224.00,1,0.0
5350225.01,17,100.0
5350225.02,17,100.0
5350226.00,1,0.0
5350231.00,1,0.0
5350233.00,1,0.0
5350234.00,1,0.0
5350235.01,15,100.0
5350235.02,11,76.9
5350236.01,3,15.4
5350236.02,18,100.0
5350237.01,1,0.0
5350237.03,1,0.0
5350239.00,1,0.0
5350241.00,1,0.0
5350242.00,1,0.0
5350243.02,2,7.7
5350244.01,1,0.0
5350244.02,1,0.0
5350245.00,2,7.7
5350247.01,21,100.0
5350247.02,6,38.5
5350248.02,1,0.0
5350248.03,5,30.8
5350248.04,6,38.5
5350248.05,5,30.8
5350249.03,2,7.7
5350249.05,1,0.0
5350266.00,3,15.4
5350269.01,2,7.7
5350272.02,1,0.0
5350273.01,1,0.0
5350273.02,1,0.0
5350274.01,3,15.4
5350274.02,8,53.8
5350275.00,8,53.8
5350281.01,1,0.0
5350284.00,5,30.8
5350285.00,5,30.8
5350286.00,6,38.5
5350287.02,6,38.5
5350287.03,6,38.5
5350287.04,6,38.5
5350288.00,6,38.5
5350289.00,5,30.8
5350290.01,5,30.8
5350290.02,5,30.8
5350291.02,5,30.8
5350291.03,5,30.8
5350291.04,5,30.8
5350296.00,1,0.0
5350298.00,8,53.8
5350299.01,8,53.8
5350299.02,5,30.8
5350300.01,5,30.8
5350300.02,8,53.8
5350300.03,5,30.8
5350301.01,1,0.0
5350301.03,1,0.0
5350301.04,1,0.0
5350302.01,1,0.0
5350303.00,1,0.0
5350304.02,1,0.0
5350304.03,1,0.0
5350304.06,1,0.0
5350305.01,1,0.0
5350305.06,1,0.0
5350306.01,5,30.8
5350307.03,4,23.1
5350307.04,5,30.8
5350307.05,5,30.8
5350307.06,5,30.8
5350307.07,6,38.5
5350308.03,4,23.1
5350308.05,5,30.8
5350308.06,5,30.8
5350308.07,5,30.8
5350311.06,1,0.0
5350318.01,5,30.8
5350318.02,5,30.8
5350319.00,5,30.8
5350320.02,1,0.0
5350321.01,1,0.0
